Parcel APN;NR_GH-Plants;NR_OD-Plants;Dist_to_grow_m;Km Priv. Road;Km Local Road;Mean elevation;PublicLand_YN;Prop_in_THP
20712401;0;0;0;0;0.014599673;397.3567839;0;8.00E-05
20801403;0;0;0;0;0;395.0555556;0;0
20708201;0;0;0;0;0;394.902439;0;0
20940103;0;0;0;3.423952234;0;392.9336283;0;0.016754226
20712503;0;0;0;0;0;392.34;0;0.031297694
20814237;0;0;0;0;0;391.5;0;0
20723207;0;0;0;0;0;391.2;0;0
20812109;0;0;0;4.959040495;0.5109366;391.0480769;0;0
20801405;0;0;0;0;0;390.4411765;0;0
20718611;0;0;0;0;0;390.3333333;0;0
20612114;0;0;0;0;0;389.1128609;0;0.035329783
20813501;0;0;0;4.717609264;0;385.86;0;0
20712404;0;0;0;0;0;385.3947368;0;0
20811308;61;121;20;0;0;384.88;0;0
20921108;0;0;0;7.405259394;0;384.6707022;0;0.177577517
20938113;0;0;0;5.773026695;0;384.4477612;0;0.776801116
20723103;0;0;0;1.966246555;0;383.8888889;0;0
20718405;0;0;0;1.153947129;0;380.1733333;0;0.050068318
20814234;0;0;0;0;0;379.6;0;0
20718117;0;0;0;0;0;379.24;0;0
20921105;0;0;0;3.908284678;0;378.8357488;0;0
20708501;0;0;0;0;3.109640035;378.1746032;0;0
20814224;0;0;0;0.512761012;0;376.9285714;0;0
21004110;0;0;0;0;0;376;0;0
20812108;0;0;0;0.514184038;0;375.1710526;0;0
20813105;0;0;0;2.534853108;0;372.7931034;0;0
20707507;0;0;0;0.228946196;0;370;0;0
20718403;0;0;0;0;0;369.8571429;0;0
20811127;0;0;0;0;0;369.5;0;0
20814105;0;0;0;0;0;367.5555556;0;0
20814228;0;0;0;0.722083047;0;367.3888889;0;0
20813103;0;0;0;0;0;364.6;0;0
20811119;0;0;0;0;0;361.59375;0;0
20705505;0;0;0;0;0;360.62;0;0
20940116;0;0;0;5.59289518;0;359.7027027;0;0
20706404;0;0;0;0;0;359.201581;0;0
20723203;0;0;0;0;0;358.4324324;0;0
20708504;0;0;0;0;0;357.8;0;0
20811307;156;94;60;0;0;357.45;0;0
20940102;0;0;0;0;0;357.12;0;0.759784749
20706301;0;0;0;0;0;356.5826087;0;0
20718503;0;0;0;0;0;354.2647059;0;0
20814223;0;0;0;0.066584442;0;347.9491525;0;0
20718105;0;0;0;0;0;347.2133333;0;0
20811404;0;0;0;0;0;346.6451613;0;0
20814209;0;0;0;0;0;344.8;0;0
20707502;0;0;0;0;0;344.21875;0;0
20707301;0;0;0;0;0;343.7093333;0;0
20814211;0;0;0;0;0;343.6769231;0;0.218688783
20718110;0;0;0;0;0;343.6;0;0
20712107;0;0;0;0;0;342.41;0;0.000857251
20811224;0;24;210;0;0;339.3214286;0;0
20723109;0;0;0;10.02393161;0;339.2559524;0;0
20810414;0;0;0;0;0;337.5952381;0;0
20718304;0;0;0;0;0;336.7981651;1;0
20712204;0;0;0;0;0;336.6213592;0;0.830972148
20801504;0;0;0;0;0;336.0925926;0;0
20706304;0;0;0;0;0;335.9880952;0;0
20723104;0;0;0;0.022396777;0;335.4;0;0
20722404;0;0;0;0.650172214;0;334.5890411;0;0
20940119;0;0;0;2.199246106;0;334.3076923;0;0
20708601;0;0;0;0;0;333.4666667;0;0
20712402;0;0;0;0;1.162985972;332.2333333;0;0
20814226;0;0;0;0;0;331.2941176;0;0
20706303;0;0;0;0;0;331.1932367;0;0
20723101;0;0;0;0;0;329.1454545;0;0
20814208;0;0;0;0;0;326.28125;0;0
20811113;171;87;100;0;0;325.744186;0;0
20814104;0;0;0;0;0;324.7037037;0;0
20940110;0;0;0;0.635986793;0;323.9222222;0;0
20811302;0;184;140;0;0;323.8461538;0;0
20940124;0;0;0;3.109804835;0;323.7029703;0;0
20707419;0;0;0;0;0;322.3761905;0;0
20723206;0;0;0;0;0;322.04;0;0
20801601;0;0;0;0;0;320.25;0;0
20627118;0;0;0;0;0;316.6058394;0;0
20925101;0;0;0;24.99790843;0;315.8104738;0;0
20940117;0;0;0;0;0;315.2210526;0;0
20813101;0;0;0;1.076481471;0;315.0625;0;0
21701102;0;0;0;1.945460009;0;314.1851852;0;0.621735986
20801604;0;0;0;0;0;313.5;0;0
20813502;0;0;0;0;0;313.3354839;0;0
20718211;0;0;0;0;0;313.1090909;0;0
20708101;0;0;0;0;0;312.9287356;0;0
20811126;0;0;0;0;0;312.4;0;0
20813503;0;0;0;0.311133995;0;311.9;0;0
20811122;333;0;30;0;0;311.8666667;0;0
20811129;675;0;10;0;0;311.4166667;0;0
20814102;0;0;0;0;0;311.12;0;0
20718118;0;0;0;0;0;311;0;0
20708606;0;0;0;0;0;308.7943262;0;0
20706403;0;0;0;0;0;308.5605096;0;0
20722402;0;0;0;0;0;305.5;0;0
20814210;0;0;0;0;0;304.7857143;0;0.0002305
20814225;0;0;0;0;0;304.0344828;0;0
20811203;0;0;0;0;0;304;0;0
20938115;0;0;0;8.658711629;0;301.3209549;0;0.063967975
20718210;0;0;0;0;0;294.6814159;0;0
20723107;0;0;0;0;0;292.28;0;0
20811121;0;0;0;0;0;283.5666667;0;0
20627163;0;0;0;0;0;283.1190476;1;0
20940123;0;0;0;0;0;281.2037037;0;0
20718109;0;0;0;0;0;280.775;0;0
20718206;0;0;0;0;0;278.9;0;0
20928104;0;0;0;7.065388069;0;276.1322506;0;0.106370809
20723105;0;0;0;0.889347165;0;275.84;0;0
20811109;0;0;0;0;0;275.25;0;0
20723204;0;0;0;0;0;270.4666667;0;0
20707302;0;0;0;0;0;269.5789474;0;0
20720121;0;0;0;0;0;269.1428571;0;0
20723208;0;0;0;0;0;269;0;0
20707509;0;0;0;0;0.90582275;268.04;0;0
20706305;0;0;0;0;0;267.96875;0;0
20707425;0;0;0;5.18776886;0;267.75;0;0
20811105;0;0;0;0;0;265.8;0;0
20723110;0;0;0;0;0;263.95;0;0
20718119;0;38;90;0;0;263.575;1;0
20712205;0;0;0;0;0;262.137931;0;0
20707409;0;0;0;0;0.491429708;261.75;0;0
20627105;0;0;0;0;0;261.4144737;0;0
20811128;0;40;70;0;0;258.7352941;0;0
20712316;0;0;0;0.053930552;0;257.5755814;1;0
20723209;0;0;0;0;0;256.2857143;0;0
20813504;0;0;0;0;0;255.9655172;0;0
20814103;0;0;0;0;0;253.9333333;0;0
20725101;0;0;0;0.417470469;0;253.5;0;0
20811114;0;0;0;0;0;253.1111111;0;0
20719119;0;0;0;0;0;250.4583333;0;0
20811120;0;18;70;0;0;249.6333333;0;0
20940120;0;0;0;0;0;249.2631579;0;0
20813505;0;0;0;0;0;248.9655172;0;0
20707427;157;86;30;0;0;248.4727273;1;0
20707303;0;0;0;0;0;247.52;0;0
20940121;0;0;0;0;0;245.2857143;0;0
20725107;0;0;0;0.02325423;0.449546044;245.1666667;0;0
20940125;0;0;0;0;0;245;0;0
20707428;619;0;320;0;0;244.56;0;0
20725105;0;0;0;0;0;244;0;0
20731102;0;0;0;0.07008347;0;244;1;0
20731101;0;0;0;0;0;244;1;0
20723108;0;0;0;0;0;244;0;0
20731106;0;0;0;0;0;244;0;0
20725103;0;0;0;0;0;243.6666667;0;0
20725108;0;0;0;0;0;243.3333333;0;0
20707423;0;0;0;0.004686195;0;243;0;0
20707422;0;0;0;0.247465859;0;243;0;0
20707417;0;0;0;0.067924591;0;243;0;0
20707407;0;0;0;0.106113061;0;242.75;0;0
20707416;215;0;310;0;0;242.6666667;0;0
20720122;0;91;170;0.118870615;0.859508756;242.5294118;1;0
20725110;0;0;0;0.05423138;0.433036789;242.2;0;0
20718301;0;0;0;0;0;242;0;0
20725112;0;0;0;0;0;241.3333333;0;0
20940101;0;0;0;0;0;240.1570681;0;0.049994774
20720102;0;0;0;0;0;240;0;0
20720103;0;0;0;0;0;240;0;0
20720207;0;0;0;0;0;240;0;0
20718111;0;0;0;0;0;239.875;0;0
20720109;0;0;0;0;0;238;0;0
20720123;0;0;0;0;0.137956214;238;0;0
20720124;0;0;0;0;0.262883573;238;0;0
20720209;0;0;0;0;0;236.7;0;0
20720210;0;0;0;0.186127446;0;235.4;1;0
20708502;0;0;0;0.09192909;6.491970429;231.5396825;0;0
20720116;0;0;0;0;0;230;0;0
20732107;0;18;160;0;0;229.5555556;0;0
20926102;0;0;0;7.005163707;0;227.5926829;0;0.070974016
20720202;0;0;0;0;0;226.4;0;0
20720117;0;0;0;0.101976518;0;225;0;0
20712313;0;0;0;0.514419565;0;224.5833333;0;0
20708604;314;60;490;0;0;220.68;0;0
20720120;0;0;0;0.115566427;0;220.5;0;0
20712108;0;0;0;1.206691902;0.155587268;220.2625;0;0
20714101;0;0;0;0;0;212.1714286;0;0
20712209;0;0;0;0;0;209.625;0;0.014792753
20712314;0;0;0;0;1.375612599;209.1875;0;0
20732120;0;6;30;0;0;208.8695652;0;0
20718209;0;40;430;0;0;208.7794118;0;0
